Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Ambystoma macrodactylum,1,529.8480835,0.775650024,-9.616807938,295.9268494,11.87954617,113.9097824,192.7968597,138.1209106,81.53191376,57.37513351,39.9968338,0.984707415,10.48085976,0.310871869,-8.792408943,21.49468994
Ambystoma macrodactylum,1,525.8450317,0.775178969,-9.603568077,295.0900269,11.80064106,114.4212265,194.851181,130.7289124,81.86572266,58.04011154,40.17924118,0.978812993,10.39614964,0.357116014,-8.717446327,21.39999962
Ambystoma macrodactylum,1,520.7617188,0.526333332,-9.789129257,292.3196106,11.60154819,112.3473892,192.4584656,133.6373749,79.18706512,58.13651276,39.72232819,0.729676306,10.21050739,0.12096712,-8.881928444,21.38629913
Ambystoma macrodactylum,1,585.0490112,1.091300249,-9.306162834,315.9560852,12.3936882,122.4690933,197.7266693,151.5792236,98.41756439,59,39.1509552,1.398040414,10.94964886,0.591501236,-8.602908134,21.70358467
Ambystoma macrodactylum,1,575.8898926,1.166940808,-9.233104706,320.0544434,12.35588837,120.6866302,200.8352356,145.5905914,93.21413422,58.25139999,38.72985458,1.442979217,10.93950462,0.738652527,-8.431336403,21.60000038
Ambystoma macrodactylum,1,711.7267456,0.586151481,-9.74752903,355.5052795,11.88576603,121.5854645,214.9575806,188.76651,140.3937073,61.88166809,33.49471664,0.897225678,10.49751854,-0.061217632,-9.114761353,21.68536377
Ambystoma macrodactylum,1,534.8520508,0.791762054,-9.603210449,300.4550476,11.9599247,114.7640839,193.187851,138.4259186,82.69922638,57.15733337,39.73622513,1.066601515,10.56140804,0.365762651,-8.733627319,21.49409676
Ambystoma macrodactylum,1,644.7549438,0.348145425,-9.978382111,351.8340454,11.41453648,110.7630081,219.3199158,170.4103241,104.8443527,58.34521103,32.80583572,0.61279577,10.01139259,-0.084803492,-9.07582283,21.38920975
Ambystoma macrodactylum,1,566.4419556,1.246287227,-9.19124794,306.1323853,12.50849819,123.6626816,191.3293762,147.671936,95.00016022,59,41.02005386,1.607150555,11.10824108,0.752686679,-8.491978645,21.75614738
Ambystoma macrodactylum,1,745.5296021,2.724989176,-7.367678165,322.3543396,14.17176056,148.1956635,185.2261047,224.1674042,181.0413818,63.51057434,44.04540253,3.28264308,12.67204857,1.678700447,-6.769674301,21.53864098
