Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Rana luteiventris,1,770.817749,3.185103655,-6.56604147,369.7110291,14.585392,152.0511475,214.5192108,228.7908936,149.6236572,61.71225357,39.43951797,3.685491085,13.08508968,2.262917995,-6.166101456,21.10000038
Rana luteiventris,1,645.0984497,0.080156565,-10.11988926,355.9058533,11.03581715,112.8977127,224.0961914,162.4110718,105.6856155,61.62797928,31.60943031,0.344575942,9.635856628,-0.420409679,-9.317922592,21.15425301
Rana luteiventris,1,529.3001709,3.234098911,-7.56602478,322.6622314,14.63487625,142.0013428,202.0017242,155.0011597,68.00016785,55,45.47588348,3.83545661,13.2356596,2.734109879,-6.966486454,22.1999836
Rana luteiventris,1,525.9508057,1.687786102,-8.867927551,306.0006714,13.18870068,126.0392685,190.9023895,145.1297455,83.03140259,57,43.10764694,2.388408422,11.88767147,0.849561393,-8.310614586,22.05627441
Rana luteiventris,1,675.2693481,0.280592352,-10.08660793,364.8511658,11.28343678,109.8024063,226.9549561,180.8187103,111.387001,58.52801132,31.51868439,0.480867475,9.877733231,-0.188639671,-9.159809113,21.36629677
Rana luteiventris,1,534.1583252,3.397814751,-7.421241283,323.9046631,14.79959393,144.7242584,202.2000275,156.6997528,68.71669769,55,45.72931671,4.075115681,13.39847469,2.974148512,-6.825881004,22.20000076
Rana luteiventris,1,680.2089233,2.184731722,-8.106639862,309.0603638,13.48913765,148.8581238,179.982193,171.9579773,152.8335571,67.89930725,43.48810577,2.294898987,12.07442856,1.402098775,-7.110329628,21.50918579
Rana luteiventris,1,511.5404053,1.794672012,-8.778456688,298.9964905,13.29556084,127.2221527,186.3079529,142.6572113,79.45152283,57,44.5371666,2.49536705,11.99457073,0.994306087,-8.226182938,22.07377052
Rana luteiventris,1,500.2828369,2.09069562,-8.609365463,300.4201965,13.44865417,129.9576263,188.2823944,130.804184,69.51753235,56.06968689,44.88430405,2.68175149,12.14396858,1.589926362,-8.006967545,22.10000038
Rana luteiventris,1,509.4849548,1.969714642,-8.676210403,304.4107971,13.26934528,128.938324,192.9996033,139.8943787,70.87432098,57,43.6170578,2.625673771,12.02375507,1.369956613,-8.131409645,22
Rana luteiventris,1,792.6933594,4.051476955,-5.737521172,376.1767578,15.39032459,159.6172485,214.1240234,234.6473694,153.2912903,60.02685547,40.89044952,4.555412769,13.89574814,3.15511179,-5.445267677,21.10000038
Rana luteiventris,1,738.861145,3.541373014,-6.470219612,329.8334656,15.03988838,154.0996399,191.384201,224.7763519,173.4434509,60,45.65719986,4.421928883,13.44155121,2.477631807,-6.189993858,21.51016617
Rana luteiventris,1,530.795166,3.303148508,-7.53085041,322.0460205,14.7358675,143.3346405,200.9744415,155.9743652,68.30748749,55.3071785,45.72696686,3.936506033,13.30478573,2.8038311,-6.963068962,22.20000076
Rana luteiventris,1,876.4030151,1.290197015,-8.62849617,399.4504089,12.80315685,137.6941376,233.1756897,206.0480042,203.4102325,68.73085022,32.33581161,1.371722817,11.26609898,0.472977966,-7.932413578,21.42855644
Rana luteiventris,1,622.8438721,4.264102936,-5.730236053,324.8551636,15.56985474,160.7388611,187.1585846,180.8701019,109.0772324,59,47.85576248,4.810233116,14.10613441,3.479599476,-5.416379452,21.29999924
Rana luteiventris,1,630.0827026,3.97634387,-6.095878601,307.9673767,15.44148064,156.9391174,178.6765289,190.1928558,127.6083755,58.29884338,50.0771904,4.671009541,13.94482803,3.141221285,-5.729891777,21.56118393
Rana luteiventris,1,631.1283569,2.673136473,-7.552391529,302.8481445,14.1456852,150.2448883,176.7501984,166.3222961,131.8447266,65.52565002,46.62841415,2.9672544,12.67332554,1.84713304,-6.752540588,21.62416649
Rana luteiventris,1,593.1389771,2.966487408,-7.235032082,303.6360474,14.30304718,151,179.3261566,146.5687256,114.6153946,63.30298996,47.28340149,3.37137723,12.9006319,2.168588161,-6.598060131,21.59409142
