Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Anaxyrus hemiophrys,1,651.3787842,3,-16,447.7417908,19.10000038,154,283,141,65,59.41149139,42.70000076,4.699999809,18.10000038,3.200000048,-13.89999962,35.12730408
Anaxyrus hemiophrys,1,665.5072632,2.805070162,-16.13261795,453.7510986,18.92849922,153,287.7055054,142.0402374,69.747612,60,41.8159523,4.599999905,17.82816505,2.905629158,-14,35.09999847
Anaxyrus hemiophrys,1,734.3779297,6.110226631,-11.44803047,478.9924316,21.49061394,164,311.8874817,187,53.47821808,61.00216675,44.81099319,7.75198555,20.31022263,5.951907635,-9.499874115,32.90000153
Anaxyrus hemiophrys,1,784.7664185,7.099999905,-10.39999962,500.9040833,22.49749565,169,315.8700867,212,64.86597443,61,44.82116699,8.600000381,21.20000076,6.800000191,-8.399999619,32.79999924
Anaxyrus hemiophrys,1,730.784729,6.099999905,-11.57248306,473.1904297,21.5,164,312.7580872,182.7064667,57,61,45.48140717,7.781282425,20.39999962,5.92726469,-9.600000381,33.09999847
Anaxyrus hemiophrys,1,739.2507324,6.099999905,-11.60000038,476.244873,21.60000038,163.0301208,317.2793579,182.3093109,62,61,45.28578949,7.699999809,20.39999962,5.900000095,-9.600000381,33.20000076
Anaxyrus hemiophrys,1,733.5018921,6.699999809,-10.86211395,471.3023682,22.10000038,166,302.6134338,189.1967621,58.35801315,60,46.86919403,8.300000191,20.89999962,6.599999905,-8.899999619,32.93572998
Anaxyrus hemiophrys,1,725.3228149,5.116522312,-13.19999981,497.2383423,20.8073101,161,319,170.0225067,55,61,41.87898254,6.794716835,19.71074867,5.093509197,-11.10000038,34.01882553
Anaxyrus hemiophrys,1,716.562561,5.599999905,-12.59940815,479.7449646,21.30485153,164,312,170.7777405,57,62,44.42583084,7.202349186,20.20000076,5.5,-10.5,33.90000153
Anaxyrus hemiophrys,1,698.8024292,5.780734062,-12.30000019,470.8000793,21.5,163,307.8637085,167,54,61,45.61214828,7.300000191,20.29999924,5.699999809,-10.30000019,33.79999924
Anaxyrus hemiophrys,1,702.0858154,6.5,-11.00510311,452.5452576,21.94784355,167,299.5007324,177.9537964,56.50054169,61,48.45103455,8.101905823,20.74854851,6.294451237,-9.100000381,32.9978981
Anaxyrus hemiophrys,1,699.5718384,5.900000095,-12,463.8768005,21.60000038,162,301.7062683,173,56,60,46.55772781,7.5,20.39999962,5.715298176,-10,33.59999847
Anaxyrus hemiophrys,1,703.8707886,5.813123703,-12.10000038,467.9494019,21.5,162,303.9617004,173,56,60,46.06309509,7.413114071,20.36567116,5.696949005,-10.10000038,33.59999847
Anaxyrus hemiophrys,1,698.9994507,5.900000095,-12,463.4989929,21.60000038,162,301.4987793,173,56,60,46.60005569,7.5,20.39999962,5.699999809,-10,33.59999847
Anaxyrus hemiophrys,1,698.8046875,5.943205357,-12,462.3708801,21.60000038,162,301,173.2706451,57,60,46.76272583,7.5,20.44326401,5.800000191,-9.958041191,33.59999847
Anaxyrus hemiophrys,1,699.3661499,5.900000095,-12.03649902,464.2587585,21.60000038,162,301.8807068,173.0041504,56,60,46.52709198,7.5,20.39999962,5.699999809,-10.00009441,33.59999847
Anaxyrus hemiophrys,1,680.1546021,4.900000095,-13.80000019,459.0643616,20.76483536,160,298,155.7006531,58.06238937,60,45.19235611,6.5,19.69900894,5,-11.69999981,34.5
Anaxyrus hemiophrys,1,696.8225708,5.300000191,-13.19999981,482.4532166,21.29999924,163,308,162.8050079,48.95541,61,44.0548439,6.900000095,20.10000038,5.300000191,-11.10000038,34.49902344
Anaxyrus hemiophrys,1,651.000061,3,-16,447.785553,19.10000038,154,283.1986084,141,65,60,42.72141266,4.699999809,18.10000038,3.200000048,-13.83675289,35.14330292
Anaxyrus hemiophrys,1,690.7973022,5.254260063,-13.32766819,468.8000488,21.16646194,162,300.7759094,163,55,61,45.22178268,6.854378223,20.06620789,5.266245842,-11.30000019,34.55744171
Anaxyrus hemiophrys,1,696.3334961,5.400000095,-13.03343201,476.334137,21.29999924,163,304.5204468,165,52.17575073,61,44.75641632,7,20.20000076,5.366608143,-11,34.40000153
Anaxyrus hemiophrys,1,696.4772339,5.400000095,-13,475.7419128,21.32616043,163,304.0900574,165.7190399,52.80943298,61,44.87352371,7,20.20000076,5.400000095,-11,34.40000153
Anaxyrus hemiophrys,1,697.0928345,5.400000095,-13,475.2887268,21.3881588,163,303.7070007,166.2936096,53.00156784,61,44.99507904,7,20.28016663,5.400000095,-10.99996567,34.37069702
Anaxyrus hemiophrys,1,670.2139282,6.612833023,-10.80000019,438.2443848,22.10000038,168,288.9362488,175.3518219,46,61,50.47350311,8.300000191,20.89999962,6.365938663,-8.899999619,32.90000153
Anaxyrus hemiophrys,1,589.1642456,3,-16.20000076,404.0032959,19.5,156,263.2138672,122.2087784,61.65815353,61,48.20000076,4.900000095,18.29999924,2.900000095,-14.10000038,35.70000076
Anaxyrus hemiophrys,1,679.3508301,6.599999905,-10.88863373,443.6516113,22.11112022,168,292.8708191,176.9766083,50,61,49.84728622,8.211378098,20.89999962,6.36412859,-9,33
Anaxyrus hemiophrys,1,562.2319946,2.700000048,-16.5,382.7606812,19.46607399,156,253.7438354,111,57,62,50.84295273,4.666061878,18.20000076,2.5,-14.5,36
Anaxyrus hemiophrys,1,578.272644,2.87941432,-16.3047905,396.4379578,19.39999962,156,260.3988953,117.1698151,60,61,48.85173416,4.800000191,18.20000076,2.700000048,-14.30000019,35.70000076
Anaxyrus hemiophrys,1,612.8184204,4.453207493,-14.26501656,430.8181458,20.5,160,278.8103943,135,46,60,47.57128525,6.153097153,19.39999962,4.5,-12.21624851,34.70000076
